id,name,nationality,club
259065,Arnau Tenas,Spain,PSG
245338,T. van den Belt,Netherlands,FEY
263295,M. Fall,Senegal,FCB
252038,Romário Baró,Portugal,POR
246014,M. López,Peru,FEY
204246,M. Bettinelli,England,CHE
215358,M. Meli,Argentina,LIV
219715,R. Di Gennaro,Italy,INT
220477,M. Caldara,Italy,MIL
272834,João Neves,Portugal,SLB
258467,L. Romero,Argentina,MIL
264298,C. Bradley,Northern Ireland,LIV
261530,Dário Essugo,Portugal,SLI
264022,Gonçalo Esteves,Portugal,SLI
271247,S. Alvero,France,LYO
260099,S. Sambo,Netherlands,PSV
274947,M. Pellegrino,Argentina,MIL
252144,Eduardo Quaresma,Portugal,SLI
264401,B. Meïté,Côte d'Ivoire,OLM
168965,R. Riou,France,LYO
205972,R. Bentancourt,Uruguay,LIV
222546,L. Zingerle,Germany,RBL
229882,Eduardo Henrique,Brazil,SLI
253243,R. Rivero,Uruguay,LIV
272978,J. Hato,Netherlands,AJA
268837,Rodrigo Ribeiro,Portugal,SLI
276682,C. Ndour,Italy,PSG
263193,E. Bitshiabu,France,RBL
276901,Afonso Moreira,Portugal,SLI
258171,H. Mejbri,Tunisia,MUN
261249,É. Michut,France,PSG
263823,S. Mannsverk,Norway,AJA
266097,Geny Catamo,Mozambique,SLI
262298,M. Lotka,Poland,DOR
257920,C. Tengstedt,Denmark,SLB
266645,A. Cayetano,Uruguay,LIV
243055,Rafael Camacho,Portugal,SLI
137552,B. Waterman,Netherlands,PSV
199568,K. Lamprou,Greece,FEY
199574,A. Letellier,France,PSG
277795,Deivid Washington,Brazil,CHE
265194,Iker Bravo,Spain,MAD
253715,D. Sarmiento,Argentina,MCI
269852,M. El Arouch,France,LYO
270039,Diego Moreira,Portugal,LYO
274357,Alarcón,Spain,FCB
257534,C. Palmer,England,CHE
274208,I. Kostis,Cyprus,ATM
273604,L. Rodríguez,Uruguay,LIV
273975,I. Housni,France,PSG
248478,D. Ramaj,Germany,AJA
264728,A. Kaplan,Turkey,AJA
266453,Gonçalo Borges,Portugal,POR
263773,T. Beelen,Netherlands,FEY
268728,A. Salah-Eddine,Netherlands,AJA
264489,Trilli,Spain,FCB
255151,S. Ngapandouetnbu,Cameroon,OLM
240008,A. Papadopoulos,Germany,DOR
253255,S. Lentinelly,Uruguay,LIV
227154,S. Britos,Uruguay,LIV
262105,J. Duranville,Belgium,DOR
258378,M. Godts,Belgium,AJA
275412,J. van Duiven,Netherlands,PSV
277465,I. Babadi,Netherlands,PSV
275507,M. Sarr,France,LYO
277500,João Muniz,Portugal,SLI
270060,Samuel Soares,Portugal,SLB
266136,Peter,Spain,MAD
271193,Antonio Gomis,Spain,ATM
276235,F. Mughe,Cameroon,OLM
264116,Iturbe,Spain,ATM
266658,I. Rodríguez,Uruguay,LIV
263279,O. Pohlmann,Germany,DOR
253510,J. O'Brien,Republic of Ireland,LYO
265767,G. Nápoli,Uruguay,LIV
274122,M. Barrios,Uruguay,LIV
253282,J. Izquierdo,Uruguay,LIV
266448,A. van Axel Dongen,Netherlands,AJA
259356,C. Chukwuemeka,England,CHE
271800,Y. Minteh,Gambia,FEY
272981,S. Vos,Netherlands,AJA
270865,Diego Callai,Brazil,SLI
275254,S. Nhaga,Portugal,PSG
258507,Obrador,Spain,MAD
269153,A. Gaaei,Denmark,AJA
257719,Jaume Cuéllar,Bolivia,FCB
260100,F. Oppegård,Norway,PSV
262981,L. Fiorini,Scotland,MCI
253162,H. Nicolussi Caviglia,Italy,JUV
275126,Aleix Garrido,Spain,FCB
157804,S. Carson,England,MCI
277482,L. Sauer,Slovakia,FEY
277179,Fermín López,Spain,FCB
277295,O. Bobb,Norway,MCI
277954,K. Yıldız,Turkey,JUV
272600,Marc Casadó,Spain,FCB
277601,E. Soglo,England,OLM
276747,A. Laâziri,Morocco,LYO
277118,M. Faye,Senegal,FCB
273603,M. Antoni,Uruguay,LIV
248732,K. Hein,Estonia,ARS
271902,K. Amaro,Uruguay,LIV
272606,Bernardo Folha,Portugal,POR
273998,André Gomes,Portugal,SLB
272445,Álvaro,Uruguay,MAD
263640,A. Milambo,Netherlands,FEY
264490,Noel,Spain,MAD
272980,O. Aertssen,Netherlands,AJA
274486,Marvel,Spain,MAD
265688,Francisco Meixedo,Portugal,POR
256058,Pablo Pérez,Spain,ATM
266815,B. Doak,Scotland,LIV
269136,K. Mainoo,England,MUN
275411,T. Land,Netherlands,PSV
260406,K. Gordon,England,LIV
261621,L. Mbete,England,MCI
274555,Mario Martín,Spain,MAD
277013,C. Traorè,Côte d'Ivoire,MIL
277483,G. Zechiël,Netherlands,FEY
253452,M. Azeez,England,ARS
260910,S. Shoretire,England,MUN
263514,A. Kamara,Guinea,DOR
271976,L. Chambers,England,LIV
277846,Nico Paz,Spain,MAD
274927,K. Hlynsson,Iceland,AJA
273651,J. Quansah,England,LIV
259317,Cañizares,Spain,MAD
259096,T. Akinola,England,ARS
263602,B. Nadir,France,OLM
271438,Marco Moreno,Spain,ATM
271904,M. Silva,Uruguay,LIV
259070,Pau Víctor,Spain,FCB
268443,D. Gore,England,MUN
270351,K. Peersman,Belgium,PSV
277427,N. O'Reilly,England,MCI
274387,R. Walters,England,ARS
268445,R. Bennett,England,MUN
259419,T. Nakai,Japan,MAD
267835,R. Hornos,Uruguay,LIV
271583,G. Garofani,Italy,JUV
258689,Diego Bri,Spain,ATM
264115,D. Williams,England,CHE
278023,M. van Sas,Netherlands,FEY
268133,Y. López,Uruguay,LIV
274985,R. Machado,Uruguay,LIV
263655,R. Nyakossi,Switzerland,OLM
253428,V. Jaroš,Czech Republic,LIV
276004,T. Buchmann,Germany,BAY
264415,C. Setford,England,AJA
271120,M. Kleijn,Netherlands,FEY
272503,Sergio Mestre,Spain,ATM
277668,F. Krätzig,Germany,BAY
257239,J. Brooking,England,CHE
263955,B. Knight,England,MCI
277642,Astralaga,Spain,FCB
273925,T. Foran,England,ARS
242532,M. Gómez,Argentina,ATM
264167,Marc Vidal,Spain,FCB
276869,Mario Da Costa,Spain,ATM
271974,B. Clark,England,LIV
271743,A. Cozier-Duberry,England,ARS
278094,J. Bengui,France,LYO
275298,A. Pavlovic,Germany,BAY
